idx,mse_baseline,mse_after_delta
0,207.62046813964844,103.45841217041016
1,160.84567260742188,160.84567260742188
2,66.68094635009766,43.58409881591797
3,92.66178131103516,75.47451782226562
4,54.130672454833984,34.886390686035156
5,177.3144073486328,103.7313003540039
6,5.365104675292969,5.365104675292969
7,37.40047073364258,17.02397346496582
8,34.841434478759766,13.600946426391602
9,15.548050880432129,15.548050880432129
10,207.62046813964844,103.45841217041016
11,160.84567260742188,160.84567260742188
12,66.68094635009766,43.58409881591797
13,92.66178131103516,75.47451782226562
14,54.130672454833984,34.886390686035156
15,177.3144073486328,103.7313003540039
16,5.365104675292969,5.365104675292969
17,37.40047073364258,17.02397346496582
18,34.841434478759766,13.600946426391602
19,15.548050880432129,15.548050880432129
20,207.62046813964844,103.45841217041016
21,160.84567260742188,160.84567260742188
22,66.68094635009766,43.58409881591797
23,92.66178131103516,75.47451782226562
24,54.130672454833984,34.886390686035156
25,177.3144073486328,103.7313003540039
26,5.365104675292969,5.365104675292969
27,37.40047073364258,17.02397346496582
28,34.841434478759766,13.600946426391602
29,15.548050880432129,15.548050880432129
30,207.62046813964844,103.45841217041016
31,160.84567260742188,160.84567260742188
32,66.68094635009766,43.58409881591797
33,92.66178131103516,75.47451782226562
34,54.130672454833984,34.886390686035156
35,177.3144073486328,103.7313003540039
36,5.365104675292969,5.365104675292969
37,37.40047073364258,17.02397346496582
38,34.841434478759766,13.600946426391602
39,15.548050880432129,15.548050880432129
40,207.62046813964844,103.45841217041016
41,160.84567260742188,160.84567260742188
42,66.68094635009766,43.58409881591797
43,92.66178131103516,75.47451782226562
44,54.130672454833984,34.886390686035156
45,177.3144073486328,103.7313003540039
46,5.365104675292969,5.365104675292969
47,37.40047073364258,17.02397346496582
48,34.841434478759766,13.600946426391602
49,15.548050880432129,15.548050880432129
50,207.62046813964844,103.45841217041016
51,160.84567260742188,160.84567260742188
52,66.68094635009766,43.58409881591797
53,92.66178131103516,75.47451782226562
54,54.130672454833984,34.886390686035156
55,177.3144073486328,103.7313003540039
56,5.365104675292969,5.365104675292969
57,37.40047073364258,17.02397346496582
58,34.841434478759766,13.600946426391602
59,15.548050880432129,15.548050880432129
60,207.62046813964844,103.45841217041016
61,160.84567260742188,160.84567260742188
62,66.68094635009766,43.58409881591797
63,92.66178131103516,75.47451782226562
64,54.130672454833984,34.886390686035156
65,177.3144073486328,103.7313003540039
66,5.365104675292969,5.365104675292969
67,37.40047073364258,17.02397346496582
68,34.841434478759766,13.600946426391602
69,15.548050880432129,15.548050880432129
70,207.62046813964844,103.45841217041016
71,160.84567260742188,160.84567260742188
72,66.68094635009766,43.58409881591797
73,92.66178131103516,75.47451782226562
74,54.130672454833984,34.886390686035156
75,177.3144073486328,103.7313003540039
76,5.365104675292969,5.365104675292969
77,37.40047073364258,17.02397346496582
78,34.841434478759766,13.600946426391602
79,15.548050880432129,15.548050880432129
